ID,'roi_10_coords_-24_-39_-2_roi.mat','roi_11_coords_-38_7_-12_roi.mat','roi_12_coords_-39_-6_8_roi.mat','roi_13_coords_-41_-17_-4_roi.mat','roi_14_coords_-6_-88_-3_roi.mat','roi_15_coords_-11_-18_-19_roi.mat','roi_16_coords_-47_29_27_roi.mat','roi_17_coords_-8_14_-6_roi.mat','roi_18_coords_-14_0_3_roi.mat','roi_19_coords_-9_44_-2_roi.mat','roi_1_coords_-6_-6_28_roi.mat','roi_20_coords_-37_-20_19_roi.mat','roi_21_coords_-6_-37_27_roi.mat','roi_22_coords_-13_-72_40_roi.mat','roi_23_coords_-17_7_-10_roi.mat','roi_24_coords_-22_-46_63_roi.mat','roi_25_coords_-8_-16_1_roi.mat','roi_26_coords_6_-6_28_roi.mat','roi_27_coords_11_18_4_roi.mat','roi_28_coords_48_7_1_roi.mat','roi_29_coords_8_-69_23_roi.mat','roi_2_coords_-10_14_9_roi.mat','roi_30_coords_3_37_-16_roi.mat','roi_31_coords_38_10_14_roi.mat','roi_32_coords_34_41_-12_roi.mat','roi_35_coords_24_-39_-2_roi.mat','roi_36_coords_35_11_-4_roi.mat','roi_37_coords_41_-8_-6_roi.mat','roi_38_coords_36_-12_6_roi.mat','roi_39_coords_6_-88_-3_roi.mat','roi_3_coords_-50_-2_1_roi.mat','roi_40_coords_7_-20_-14_roi.mat','roi_41_coords_35_29_29_roi.mat','roi_42_coords_8_11_-6_roi.mat','roi_43_coords_25_-11_-4_roi.mat','roi_44_coords_13_44_16_roi.mat','roi_45_coords_38_-20_19_roi.mat','roi_46_coords_6_-37_27_roi.mat','roi_47_coords_6_-61_56_roi.mat','roi_48_coords_25_4_3_roi.mat','roi_49_coords_22_-46_63_roi.mat','roi_4_coords_-8_-69_23_roi.mat','roi_50_coords_6_-16_2_roi.mat','roi_6_coords_-38_10_10_roi.mat','roi_7_coords_-25_33_-16_roi.mat','roi_8_coords_-30_26_-5_roi.mat','roi_9_coords_-25_46_-11_roi.mat'
2012,1.062897189,1.412036822,2.987194784,3.019976383,-1.903902838,-2.230042041,0.524799495,-4.325941734,0.194455744,-0.396728643,-0.576569677,0.464798177,-1.901392542,1.418679105,0.676020733,1.987745992,-1.988710684,1.694741397,-5.817803446,-0.463017097,-2.450483192,-1.088733626,-2.789181381,-0.9030616,-1.266934563,1.009716256,0.707645262,-2.721779006,-1.405874479,0.707307111,0.655041757,-2.122563315,0.744679436,-1.683069858,-1.685723649,0.610177851,-3.757696082,1.064729224,2.677659285,-4.163019646,-2.638129212,-2.830900152,-3.816844184,0.753056801,1.551491303,-1.551899918,0.337266612
2013,4.21087057,4.656974603,7.188033208,3.341304889,1.093891664,3.49224721,6.574372788,3.144500466,2.379277704,0.247002569,4.355213064,-0.901061372,2.065913214,-0.677047652,3.304671442,-1.594190757,4.308798148,5.241081579,1.822375825,1.257349299,-0.404740478,-0.075268378,6.823080808,2.841643496,-0.454722787,0.88743217,0.274713133,3.382940448,3.754583721,1.276773098,1.945385189,2.310382862,-1.525262644,3.024598595,2.928515966,1.816051243,-1.717024965,1.202737264,-2.614163945,1.822273731,-0.074678601,2.693218127,4.481163213,0.935658024,4.100079192,3.320683469,0.368261933
2014,-1.616754977,-3.211044179,-1.112213031,-2.153595684,-1.959766499,-3.618348975,-3.850741678,-1.168237196,-2.688904126,-3.145564364,0.81349345,-0.714596607,-2.99545412,-2.928444086,-0.767506793,-1.053604592,-1.333990438,0.848567492,-2.22952178,-2.386206327,-3.389793103,-0.673694675,-6.312681258,-2.066208807,-0.028956359,-0.117070216,0.113818971,-2.880567416,-1.896368959,0.544037329,0.153798762,-2.608721637,-0.159118235,-6.419856804,-2.669969164,-0.710530812,-6.154863318,0.1143527,0.597743155,-1.885950355,0.436311983,-6.681242482,-1.632953646,-0.488912893,1.849717074,0.452567038,-0.220799146
2015,6.049402523,0.664958493,-4.656241717,1.19248217,-5.906354405,0.530084126,0.041410947,-4.972830284,-0.81594146,-3.870469503,3.110042825,-3.704803159,-2.031343623,2.368428801,-1.647143622,0.019573225,-1.399146526,2.521668553,-5.016534671,-5.748907259,-4.113381858,-6.551462151,-3.191090584,-3.305485736,-0.364692641,2.34100531,-2.323546247,-8.118180357,-3.087563518,-1.540365515,-6.684637381,-1.755193407,-4.208016421,-11.31139661,-2.765652836,-4.622652091,-7.924177468,1.590535549,-15.37888629,-1.97153471,-8.377565789,-3.101514837,-0.133161508,0.645327286,0.577374595,-0.736324591,-0.745908502
2016,0.443361392,3.503014152,-0.645614062,-1.099352293,-2.105078447,-6.231123275,0.232858637,0.00526702,0.768571031,1.370035357,-0.328591384,-0.180538747,1.608506662,1.410527294,1.892229686,-0.324237369,2.239841466,-2.66703598,1.628536385,0.636420364,2.636471215,0.65517277,4.293811828,-1.657891945,-1.497368412,-0.634748646,2.317667175,-0.507020463,1.371355993,-0.846193633,-1.614476752,-0.84681342,-0.958285929,-1.269471055,1.154113746,0.836992625,-1.294013398,1.271087245,-1.300885738,-1.171723407,-1.00531405,0.449335336,2.057630331,0.052185964,-1.566012374,2.429123345,0.404853535
2017,-1.090849628,2.23762704,-0.264268679,1.147511369,-0.15136458,5.970185039,-0.140577636,-0.701632502,1.342733028,0.289169975,3.709316076,0.263187205,5.6669412,-0.054667195,-0.723163474,-1.572704812,-2.249362043,5.751992753,0.196966523,0.11746052,0.241732384,-1.867817535,0.58209791,-1.821685303,-1.333264715,0.782680268,1.191853435,2.007046754,-2.457455722,0.512095134,-0.329276407,5.663872584,1.390101878,-2.79037961,1.434098516,1.666477558,1.004167164,5.102355267,0.337146553,-2.649559405,-2.826163842,1.732154754,-1.957783487,-0.160680659,-0.215845307,0.204501618,0.51824251
2018,-1.64209953,4.149463551,1.729347289,-0.168699383,3.018927511,-0.869454602,-2.403245104,-0.882780581,-0.182447263,3.450658109,1.205816012,-0.202845714,2.634632582,1.060627159,0.629527365,-1.638838804,-3.23055909,2.263985021,2.486217673,0.019472635,-1.698319135,1.451479256,-2.054783612,-0.785548004,0.619459629,-2.097088113,2.739355679,1.132016751,0.987734783,1.223147136,2.26244643,0.803711486,2.00027206,4.021012815,-0.938849017,1.955423818,1.023684971,3.086248199,-1.223700135,2.291532686,-1.762140531,-1.297843342,-2.726089881,-0.172080096,4.254254656,1.919259251,-0.826316223
2019,0.666400955,1.698962241,-1.203732848,-1.888478259,2.694004735,-0.566033768,5.844998844,-1.981551207,2.681102071,0.402221114,1.745226111,-4.677325585,3.482618128,3.743089858,0.383474736,0.829278929,-1.671836069,-0.505613415,-2.985838987,1.938449342,0.351341573,-1.72841308,1.292360157,-5.431710189,0.945145262,0.030468891,2.407427975,0.547110168,-0.73592378,5.087784331,0.05537517,0.019730468,1.592327882,0.022963303,0.087438532,-2.548654946,-4.806461657,5.410951014,-0.218235482,1.868307174,1.408363496,2.271585933,-1.709458541,-4.041013254,-0.121692601,2.969485654,2.58878691
2020,-1.655644365,-0.138848782,3.379766572,-0.178199756,0.182646737,0.770473765,3.914761714,3.146446761,0.31418986,1.192850197,2.214283834,3.857685834,4.599079634,1.642178539,2.02712597,0.898708261,1.546710982,2.238778737,3.623439735,-2.457690106,1.051419677,3.144346453,2.168654427,0.837005724,-1.343614133,-1.110109402,-2.061274378,-1.841940065,4.702267314,-2.490997036,-2.426411991,0.8843142,0.953237408,3.918852734,-1.477564932,3.919101033,2.36080867,5.453767239,-2.563789232,0.912226207,0.275813063,1.500544741,0.791319779,3.067167733,1.22484821,1.805547449,1.392622728
2021,-0.465048707,-0.446571511,2.423478842,1.394286778,-0.28611266,3.443587736,0.376742343,-1.477311896,-1.831744955,0.268461502,-0.60921097,0.948650949,-1.418245482,-0.957428073,-1.042234096,1.271462128,-0.837521075,-0.384970065,-1.927283086,0.790867736,-1.585381919,1.252759617,1.350038089,2.511520169,-0.711883381,0.717965313,-1.689397046,1.145259567,0.128308984,2.16912716,-0.130787853,1.604325212,1.038027285,-0.553520164,-0.021859941,-0.134081754,1.066940664,-1.186395355,0.79501098,-0.70033141,-0.190830679,-0.632572642,-1.394680887,0.588382928,-0.509151085,-1.046959101,0.444782949
2023,2.013243577,3.660420707,1.877525272,2.666425659,0.249767452,-2.14158167,4.878033914,-1.664158643,1.802479121,-0.136852072,4.002606822,2.948703735,3.709304764,0.651349181,-0.480566947,-1.878857659,-0.567301127,4.142473192,-0.468606097,-0.529856505,0.010418341,2.84094716,-0.436400853,5.607356202,0.090443654,5.334297485,2.020544653,2.372374148,-1.296759012,2.220290742,0.954038194,0.23224649,-5.045954221,-2.275533123,-0.190140381,1.276414311,3.325039953,5.344436049,-0.606336305,0.509996513,0.140358824,2.16289538,0.153912634,0.143705951,1.852330491,0.424898734,-1.079275141
2024,0.642358149,-1.252404348,-1.544943151,-0.803978136,-1.411548533,-5.609178534,-2.613296184,-2.287547859,-0.003131951,-4.849501206,0.273852466,0.231331562,-3.717000986,-1.82140389,1.589509232,5.242335701,-0.952454319,0.558424254,-1.969555874,2.500378138,0.00371625,-1.828192159,-4.108499423,-1.310512131,1.118604842,-3.178071581,1.747856305,-1.515493962,2.790188342,-1.958921739,0.853252542,-9.650718897,-0.201902087,-1.269611538,1.528575297,3.85443239,2.792535001,-4.601575512,-0.556080991,2.544120325,2.13965014,0.71658795,-1.68035001,0.284193352,1.752121953,0.858094509,1.567059514
2025,-2.014605472,-0.444078906,-1.363840198,-0.784793611,0.845252278,-1.00795962,1.64698711,-2.091374811,-0.785939165,-1.170706295,-0.143769566,-3.061248113,-3.10314168,-1.610699494,-2.785745584,-1.783130039,1.990632258,1.575603537,-2.013101406,-0.725474934,-4.977264443,-2.069558013,-1.69507955,-6.347855048,-0.409741751,-0.652848433,-1.709175113,-4.531664775,-4.460999613,6.932917543,-4.025708823,-0.921055371,-0.945472762,-5.722739464,-3.785427279,-2.425695032,-5.198695928,-4.391038819,-9.498389392,-3.50681683,-2.669346098,-4.953250689,-0.989648662,-2.793746,-1.967185086,1.968216142,-1.636803399
2026,1.865490524,1.797842678,0.512124981,6.203039294,2.851810474,2.205987372,0.243223881,-0.628531811,0.005916278,-0.364057951,-4.391347864,4.385270345,4.462694634,4.562727141,1.833886119,2.421325252,-1.705545677,-1.186120212,-1.23998747,-1.058184707,5.059892669,-0.930591562,-0.860723283,-0.939569381,0.063707723,-0.602872482,-0.46776513,3.362408366,-0.206710855,4.828050955,3.012379603,3.181263476,0.016124588,5.467674711,-4.32746135,1.650380571,0.327590431,3.229334201,4.196960572,-3.588721523,1.961799735,6.227763492,0.137265022,2.022650782,0.726745116,0.041031308,-2.788235491
2028,-10.86473001,-1.732390344,0.348647032,-0.713503785,-3.63609545,-2.971996359,-0.461713472,-0.481195691,0.906079614,1.141794501,-5.409349357,4.337468702,-7.329085205,-3.823057249,-1.111636321,0.362609564,-0.16768916,-8.011936348,3.302264457,1.650763717,-1.276043232,2.461100943,1.723096803,9.318271117,-0.805323554,-1.669514247,-1.284350065,-1.900197885,2.979938692,0.76342988,-0.240439712,-0.747239788,-3.554888387,0.258876621,-4.283915047,1.364535496,3.88261957,-1.377428643,-1.578672084,0.225253907,-3.770228248,-2.604822175,1.371074418,4.387130021,0.333865583,0.664177938,2.223704477
2029,-5.033624708,1.269843386,-2.942289779,-0.995005656,-2.316442178,-1.321081616,1.025517282,-1.409970231,-1.704112303,-1.398791748,-0.480197355,0.1930738,-0.215270906,0.403927538,1.593153189,0.49505788,-4.905390269,0.712864218,-5.191698354,-0.023002202,2.329346853,-3.265592172,-3.189182222,0.757162045,-0.017853493,-2.96320857,1.702004087,-0.808853927,-1.966408792,-1.423970097,-1.939219944,2.598227253,1.22423118,-1.248978106,-0.943348582,-0.739226296,-2.841684121,-1.094882435,2.782953737,0.382098829,0.691077584,-0.31903237,0.428948444,0.578412239,-1.29324823,-0.136646873,-0.868498314
2030,-0.072467564,4.234449672,3.215736907,5.186415253,0.739898984,1.314346408,1.937288788,0.855315657,1.715245522,0.393929111,-2.279163851,1.104147153,0.653995197,0.23892422,2.840906739,1.514606477,1.734576981,-3.116089567,1.216352118,0.255471771,0.648616837,0.331817306,-0.073902134,-0.400272976,0.24583357,0.371151998,1.083078772,2.930358299,-0.633510947,5.522625031,1.466463613,-2.577604669,0.326095755,1.679392897,-0.451034678,1.525161976,-1.424102028,0.385176858,0.915252115,0.275877403,3.230032306,2.030505813,-0.127784251,1.810392322,1.446072702,-0.300565582,1.394380199
2031,1.311689172,2.024055913,5.384150348,-3.259926156,-3.136469259,-2.698480876,2.569638402,-1.427836948,2.243524103,0.104084196,4.901254758,-0.814867447,2.663527191,1.623607806,-0.420076026,-0.21052592,1.495458014,5.738368407,1.061911604,-2.295806223,-5.307757788,3.114647432,-2.027115799,-1.631083055,-1.316166596,-0.688498112,-1.882034895,-4.457958299,-2.794485856,-1.893753395,-6.988913502,-2.780534324,-0.00207966,-0.893184193,-2.805650263,-0.725378301,-4.522565125,1.372896184,-1.649389816,-0.697662357,3.894905578,-1.161291174,-3.661053072,-2.05568775,1.479988756,2.217487525,1.091084122
